lat,lng,speedLimit,heading,type
33.494013,126.470652,50,-1,0
33.496937,126.580714,70,-1,0
33.49725,126.892864,70,-1,0
33.497581,126.496762,50,-1,0
33.498923,126.501938,50,-1,0
33.506223,126.50617,50,-1,0
33.511367,126.547626,50,-1,0
33.513863,126.502748,50,-1,0
33.51393,126.54047,50,-1,0
33.514878,126.589002,50,-1,0
33.517199,126.580864,50,-1,0
33.518242,126.540374,50,-1,0
33.51976,126.571829,50,-1,0
33.521408,126.581277,50,-1,0
33.526136,126.623411,70,-1,0
33.531416,126.686495,70,-1,0
33.533236,126.637986,60,-1,0
33.551863,126.791386,70,-1,0
33.554464,126.738439,50,-1,0
34.162029,126.554398,30,-1,0
34.162173,126.554504,30,-1,0
34.162901,126.55513,30,-1,0
34.162901,126.555612,30,-1,0
34.16295,126.59209,30,-1,0
34.163139,126.591628,30,-1,0
34.164401,126.592052,30,-1,0
34.171102,126.652795,30,-1,0
34.17127,126.65277,30,-1,0
34.19491,126.57037,30,-1,0
34.195644,126.570669,30,-1,0
34.295855,126.049493,30,-1,0
34.311754,126.739085,30,-1,0
34.31232,126.759808,30,-1,0
34.312479,126.75966,30,-1,0
34.31267,126.739136,30,-1,0
34.315901,126.5181,30,-1,0
34.31667,126.73035,30,-1,0
34.316704,126.730379,30,-1,0
34.319764,126.746239,40,-1,0
34.32154,126.74149,30,-1,0
34.321632,126.741488,30,-1,0
34.321895,126.521425,50,-1,0
34.322931,126.577773,60,-1,0
34.324483,126.701216,30,-1,0
34.32449,126.70131,30,-1,0
34.325137,126.741724,30,-1,0
34.325437,126.741784,30,-1,0
34.326559,126.849742,30,-1,0
34.32709,126.84933,30,-1,0
34.33241,126.736909,60,-1,0
34.332602,126.997655,30,-1,0
34.332901,126.9973,30,-1,0
34.333768,126.82639,30,-1,0
34.333999,126.829861,30,-1,0
34.337674,126.599033,60,-1,0
34.338598,126.790565,50,-1,0
34.33904,126.647764,60,-1,0
34.339096,126.598071,60,-1,0
34.339138,126.64788,60,-1,0
34.344896,126.786283,60,-1,0
34.346658,127.038337,50,-1,0
34.349001,126.5218,60,-1,0
34.350367,126.729906,80,-1,0
34.351601,126.4765,30,-1,0
34.351708,126.476669,30,-1,0
34.353491,126.777854,60,-1,0
34.355647,127.021348,30,-1,0
34.357692,126.590105,50,-1,0
34.35871,126.728798,30,-1,0
34.359582,126.728783,30,-1,0
34.364734,126.518507,60,-1,0
34.367701,126.515672,60,-1,0
34.369231,126.519525,30,-1,0
34.369338,126.519459,30,-1,0
34.370203,126.780693,60,-1,0
34.372501,126.522148,30,-1,0
34.372601,126.522,50,-1,0
34.379601,126.64597,30,-1,0
34.379908,126.645996,30,-1,0
34.380591,126.210984,50,-1,0
34.385511,126.645629,80,-1,0
34.386761,126.927192,50,-1,0
34.38815,126.684547,80,-1,0
34.388701,126.56,30,-1,0
34.388716,126.560083,30,-1,0
34.389677,126.647183,50,-1,0
34.391969,126.908966,60,-1,0
34.392647,126.854984,50,-1,0
34.392803,126.897172,30,-1,0
34.39282,126.89724,30,-1,0
34.392901,126.880936,60,-1,0
34.393147,126.193147,60,-1,0
34.396809,126.807436,60,-1,0
34.396974,126.275773,60,-1,0
34.397951,126.799995,30,-1,0
34.398046,126.800059,30,-1,0
34.398456,126.511765,50,-1,0
34.399193,126.61587,60,-1,0
34.405813,126.191534,30,-1,0
34.408201,126.6303,30,-1,0
34.408244,126.630409,30,-1,0
34.408343,126.193938,50,-1,0
